Column 1, Column 2, Column 3, Column 4, Column 5
stop,I_Rb_0/
26.0757,0,-0.00156654,-0.00156654,26.9089
14.6729,0,0.00929538,0.00929538,26.9692
14.7573,0,-0.0151873,-0.0151873,26.8462
33.3365,0,0.00631688,0.00631688,54.2872
25.3495,0,0.00680357,0.00680357,54.2667
25.3872,0,0.010912,0.010912,54.2755
25.263,0,0.00865528,0.00865528,0.971197
24.8281,0,0.00808583,0.00808583,0.962849
32.6207,0,0.00501784,0.00501784,0.969957
11.2335,0,0.0427732,0.0427732,28.4722
10.3249,0,-0.00479094,-0.00479094,28.1941
23.5361,0,0.00820626,0.00820626,28.3527
26.9034,0,0.000734777,0.000734777,14.8893
22.1598,0,-0.0133064,-0.0133064,14.8784
26.9573,0,-0.00175816,-0.00175816,14.8808
22.2893,0,0.00589808,0.00589808,42.2566
16.2941,0,-0.00262926,-0.00262926,42.3063
22.333,0,0.00563644,0.00563644,42.2779
26.7692,0,0.0143432,0.0143432,12.9878
21.5085,0,0.0255365,0.0255365,12.9534
25.9783,0,0.00885959,0.00885959,12.9632
19.7175,0,0.0208127,0.0208127,40.3384
11.4546,0,-0.00885379,-0.00885379,40.5086
18.608,0,-0.0141816,-0.0141816,40.3622
36.4374,0,0.00909509,0.00909509,8.54396
29.317,0,0.0170783,0.0170783,8.55734
29.3264,0,0.016663,0.016663,8.55975
27.4424,0,0.00614001,0.00614001,35.91
16.8564,0,0.000591371,0.000591371,35.9798
16.9572,0,0.0193865,0.0193865,35.8778
25.1348,0,0.00316354,0.00316354,19.314
24.6579,0,-0.00162145,-0.00162145,19.2916
32.4685,0,0.00354916,0.00354916,19.3191
25.0841,0,0.024371,0.024371,46.7129
24.6405,0,0.012806,0.012806,46.7006
32.4832,0,0.0083526,0.0083526,46.6985
31.3157,0,0.0107369,0.0107369,5.38948
27.3452,0,0.0179071,0.0179071,5.38304
31.3489,0,0.0103515,0.0103515,5.3826
15.1679,0,0.0281662,0.0281662,32.7772
15.4994,0,0.00426062,0.00426062,32.7526
19.5655,0,0.011096,0.011096,22.4836
11.5171,0,0.0307236,0.0307236,22.2146
18.5032,0,-0.00554879,-0.00554879,22.4524
23.9108,0,0.00360468,0.00360468,49.8833
17.7591,0,0.0139764,0.0139764,49.8409
23.0175,0,0.013694,0.013694,49.8658
25.0805,0,0.00769281,0.00769281,10.0117
24.6209,0,0.00254446,0.00254446,9.99745
32.4139,0,0.00405741,0.00405741,10.0085
11.6416,0,-0.0589726,-0.0589726,37.3965
10.46,0,0.0122915,0.0122915,37.1157
23.6051,0,-0.00161806,-0.00161806,37.4032
27.3083,0,0.00626661,0.00626661,17.8536
16.7645,0,0.0300385,0.0300385,17.853
16.8523,0,0.00538886,0.00538886,17.864
26.1086,0,0.000755105,0.000755105,45.2418
15.091,0,0.0398032,0.0398032,45.4985
15.1309,0,0.0190738,0.0190738,45.4624
35.6222,0,0.00657573,0.00657573,4.41235
31.8043,0,0.0111087,0.0111087,4.41758
34.9537,0,0.00533728,0.00533728,4.41087
23.9096,0,-0.00268659,-0.00268659,31.8017
17.6481,0,-0.0551165,-0.0551165,31.8864
22.902,0,-0.00152008,-0.00152008,31.8071
21.9941,0,0.0212486,0.0212486,23.4578
15.9718,0,0.0094857,0.0094857,23.3537
22.1764,0,-4.90329e-05,-4.90329e-05,23.4525
26.9669,0,0.0110048,0.0110048,50.8574
22.2683,0,0.0205563,0.0205563,50.839
27.0672,0,0.00539773,0.00539773,50.8304
,,,,
